,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,price_increase
33558,0.461042,6,0.21276599999999998,0.027020999999999996,0.132699,0.001816,0.132056,0.605263,0
25851,0.911818,0,0.893617,0.043802999999999995,0.340077,0.00286,0.27110300000000004,0.7254390000000001,1
17300,0.001018,3,0.680851,0.044013,0.473817,0.003467,0.422915,0.414912,0
37268,0.437812,2,0.085106,0.05218,0.224487,0.003467,0.422915,0.414912,1
20990,0.017477,0,0.340426,0.10535,0.557423,0.003467,0.422915,0.414912,1
25117,0.023096000000000002,1,0.595745,0.109523,0.48958599999999997,0.003467,0.422915,0.414912,1
12784,0.009911,2,0.808511,0.041582,0.6798569999999999,0.003467,0.422915,0.414912,0
1074,0.44750200000000007,6,0.510638,0.042032,0.476941,0.0029,0.34930100000000003,0.503509,1
24155,0.9031459999999999,6,0.829787,0.089138,0.384558,0.005945000000000001,0.386846,0.49429799999999996,1
34598,0.442326,0,0.87234,0.05242,0.347813,0.0035770000000000003,0.300363,0.500526,1
33187,0.022034,5,0.06383,0.045455,0.29039,0.003467,0.422915,0.414912,0
14278,0.009026000000000001,3,0.48936199999999996,0.045304000000000004,0.61202,0.003467,0.422915,0.414912,0
17751,0.89881,5,1.0,0.08631599999999999,0.49404899999999996,0.005764,0.49197299999999994,0.511842,1
701,0.022919,4,0.553191,0.090159,0.500149,0.003467,0.422915,0.414912,1
14167,0.880492,2,0.574468,0.064819,0.604433,0.004566,0.605645,0.21754400000000002,1
15510,0.8892530000000001,3,0.19148900000000002,0.028462,0.17465,0.0017699999999999999,0.280943,0.809649,0
22395,0.438432,2,0.46808500000000003,0.064279,0.485421,0.003467,0.422915,0.414912,1
31804,0.469183,2,0.10638299999999999,0.027861,0.13939300000000002,0.0018219999999999998,0.227602,0.738596,0
140,0.013628,3,0.659574,0.043503,0.46161899999999995,0.003467,0.422915,0.414912,0
790,0.8850049999999999,6,0.276596,0.03975,0.202172,0.002727,0.233817,0.366228,0
1786,0.44776800000000005,5,0.595745,0.042452,0.573936,0.002943,0.548421,0.324123,0
19150,0.474404,1,0.29787199999999997,0.028041000000000003,0.28027399999999997,0.001907,0.206629,0.641667,1
6784,0.903013,3,0.680851,0.080791,0.46905699999999995,0.005474000000000001,0.593216,0.43113999999999997,0
19497,0.898058,2,0.021277,0.073166,0.542696,0.004695,0.439151,0.694298,1
